LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 2015 (%),Unemployment Rate 2016 (%),Unemployment Rate 2017 (%),Unemployment Rate 2018 (%),Unemployment Rate 2019 (%),Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,,,
CN0100100000000,1,1,"Autauga County, AL",2016,"25,649","24,297","1,352",5.2,5.1,3.9,3.6,2.7,54864,55243,55390,55533,55869,39020,39211,39599,40599,41389,,,
CN0100300000000,1,3,"Baldwin County, AL",2016,"89,931","85,061","4,870",5.5,5.3,4.1,3.6,2.7,202939,207601,212521,217855,223234,39020,39211,39599,40599,41389,,,
CN0100500000000,1,5,"Barbour County, AL",2016,"8,302","7,584",718,8.9,8.3,5.8,5.1,3.8,26283,25806,25157,24872,24686,39020,39211,39599,40599,41389,,,
CN0100700000000,1,7,"Bibb County, AL",2016,"8,573","8,004",569,6.6,6.4,4.4,3.9,3.1,22566,22586,22550,22367,22394,39020,39211,39599,40599,41389,,,
CN0100900000000,1,9,"Blount County, AL",2016,"24,525","23,171","1,354",5.4,5.4,4,3.5,2.7,57526,57494,57787,57771,57826,39020,39211,39599,40599,41389,,,
CN0101100000000,1,11,"Bullock County, AL",2016,"4,811","4,466",345,7.9,6.8,4.9,4.6,3.6,10400,10389,10176,10174,10101,39020,39211,39599,40599,41389,,,
CN0101300000000,1,13,"Butler County, AL",2016,"9,132","8,481",651,7.6,6.9,5.5,4.7,3.6,20162,20012,19888,19631,19448,39020,39211,39599,40599,41389,,,
CN0101500000000,1,15,"Calhoun County, AL",2016,"45,794","42,727","3,067",7,6.5,4.9,4.6,3.5,115469,114973,114710,114331,113605,39020,39211,39599,40599,41389,,,
CN0101700000000,1,17,"Chambers County, AL",2016,"15,134","14,295",839,6,5.4,4.1,3.8,2.9,33996,33745,33707,33600,33254,39020,39211,39599,40599,41389,,,
CN0101900000000,1,19,"Cherokee County, AL",2016,"11,163","10,581",582,5.4,5,4.1,3.5,2.9,25732,25768,25805,26014,26196,39020,39211,39599,40599,41389,,,
CN0102100000000,1,21,"Chilton County, AL",2016,"19,153","18,077","1,076",5.6,5.5,4.1,3.6,2.7,43700,43866,44120,44163,44428,39020,39211,39599,40599,41389,,,
CN0102300000000,1,23,"Choctaw County, AL",2016,"4,300","3,918",382,9.1,8.5,6.3,5.4,4.7,13231,13045,12925,12833,12589,39020,39211,39599,40599,41389,,,
CN0102500000000,1,25,"Clarke County, AL",2016,"8,011","7,118",893,11.7,10.8,8.5,7.4,5.8,24698,24340,24063,23918,23622,39020,39211,39599,40599,41389,,,
CN0102700000000,1,27,"Clay County, AL",2016,"5,558","5,216",342,6.1,5.9,4.3,3.8,3,13415,13393,13350,13294,13235,39020,39211,39599,40599,41389,,,
CN0102900000000,1,29,"Cleburne County, AL",2016,"5,831","5,476",355,6,6,4.5,4.2,3.2,14914,14848,14899,15010,14910,39020,39211,39599,40599,41389,,,
CN0103100000000,1,31,"Coffee County, AL",2016,"20,402","19,167","1,235",6,5.8,4.4,3.9,2.9,50963,51202,51853,51950,52342,39020,39211,39599,40599,41389,,,
CN0103300000000,1,33,"Colbert County, AL",2016,"23,707","22,045","1,662",7.9,6.9,5.2,4.5,3.7,54417,54497,54695,55004,55241,39020,39211,39599,40599,41389,,,
CN0103500000000,1,35,"Conecuh County, AL",2016,"4,593","4,197",396,9.2,8.4,6.1,5.1,4,12678,12500,12431,12292,12067,39020,39211,39599,40599,41389,,,
CN0103700000000,1,37,"Coosa County, AL",2016,"4,444","4,171",273,6.7,6,4.7,4.1,3,10934,10819,10724,10643,10663,39020,39211,39599,40599,41389,,,
CN0103900000000,1,39,"Covington County, AL",2016,"15,392","14,315","1,077",7.1,6.7,5.2,4.5,3.4,37556,37382,37062,36953,37049,39020,39211,39599,40599,41389,,,
CN0104100000000,1,41,"Crenshaw County, AL",2016,"6,451","6,063",388,6,5.8,4.5,4,2.8,13850,13916,13858,13825,13772,39020,39211,39599,40599,41389,,,
CN0104300000000,1,43,"Cullman County, AL",2016,"37,715","35,792","1,923",5.3,5,3.7,3.2,2.6,81761,82450,82867,83418,83768,39020,39211,39599,40599,41389,,,
CN0104500000000,1,45,"Dale County, AL",2016,"20,078","18,890","1,188",6.4,5.8,4.5,4.1,3.1,49365,49362,49342,49143,49172,39020,39211,39599,40599,41389,,,
CN0104700000000,1,47,"Dallas County, AL",2016,"15,530","14,071","1,459",9.6,9.2,7.5,6.4,5.5,40936,40080,39238,38294,37196,39020,39211,39599,40599,41389,,,
CN0104900000000,1,49,"DeKalb County, AL",2016,"29,016","27,216","1,800",6.1,6,4.5,3.8,2.8,71087,71104,71437,71407,71513,39020,39211,39599,40599,41389,,,
CN0105100000000,1,51,"Elmore County, AL",2016,"36,726","34,917","1,809",5,4.7,3.7,3.4,2.6,80872,81204,81422,81011,81209,39020,39211,39599,40599,41389,,,
CN0105300000000,1,53,"Escambia County, AL",2016,"14,633","13,648",985,7,6.6,5,4.5,3.5,37661,37475,36993,36524,36633,39020,39211,39599,40599,41389,,,
CN0105500000000,1,55,"Etowah County, AL",2016,"43,887","41,269","2,618",6.2,5.9,4.6,4,3.3,102998,102855,103007,102611,102268,39020,39211,39599,40599,41389,,,
CN0105700000000,1,57,"Fayette County, AL",2016,"6,543","6,087",456,7,6.7,4.7,4,3.1,16696,16563,16466,16445,16302,39020,39211,39599,40599,41389,,,
CN0105900000000,1,59,"Franklin County, AL",2016,"13,723","12,886",837,6.4,5.9,4.3,3.7,2.8,31515,31611,31542,31298,31362,39020,39211,39599,40599,41389,,,
CN0106100000000,1,61,"Geneva County, AL",2016,"10,905","10,263",642,5.9,5.8,4.3,3.9,2.9,26631,26494,26385,26306,26271,39020,39211,39599,40599,41389,,,
CN0106300000000,1,63,"Greene County, AL",2016,"2,893","2,600",293,11.1,9.9,7.5,6.6,5.6,8508,8482,8310,8209,8111,39020,39211,39599,40599,41389,,,
CN0106500000000,1,65,"Hale County, AL",2016,"6,050","5,579",471,7.8,7.6,5.9,5,3.9,15015,14828,14801,14749,14651,39020,39211,39599,40599,41389,,,
CN0106700000000,1,67,"Henry County, AL",2016,"6,762","6,316",446,6.8,6.5,4.9,4.4,3.6,17101,17072,17115,17173,17205,39020,39211,39599,40599,41389,,,
CN0106900000000,1,69,"Houston County, AL",2016,"44,718","42,089","2,629",6.2,5.8,4.4,4,3,104260,104218,104378,104770,105882,39020,39211,39599,40599,41389,,,
CN0107100000000,1,71,"Jackson County, AL",2016,"23,636","22,117","1,519",6.6,6.3,4.8,4,3.3,52195,51988,51828,51621,51626,39020,39211,39599,40599,41389,,,
CN0107300000000,1,73,"Jefferson County, AL",2016,"310,908","292,697","18,211",5.8,5.7,4.3,3.7,2.9,660455,660343,659599,659429,658573,39020,39211,39599,40599,41389,,,
CN0107500000000,1,75,"Lamar County, AL",2016,"5,708","5,383",325,6.3,5.6,4.2,3.7,3.1,13927,13928,13882,13882,13805,39020,39211,39599,40599,41389,,,
