GeoName,2015,2016,2017,2018,2019,Pop2020,Pop2018,Pop2010,Log Pop 2020,Log Pop 2018 ,Number of Universites Per State,Number of Universites Per State (No CA),
AL,39020,39211,39599,40599,41389,4908620,4887870,4785450,6.679922783,6.689119647,35,35,
AK,72948,71091,71282,72221,74422,734002,737438,713906,5.853641032,5.867725513,129,129,
AZ,41031,41669,42505,43546,44161,7378490,7171650,6407770,6.806706915,6.855619086,108,108,
AR,38233,38309,38432,38971,39580,3039000,3013820,2921980,6.465677239,6.479117311,155,155,
CA,62403,63853,66331,68970,70662,39937500,39557000,37320900,7.571952108,7.597223347,1246,,
CO,56724,57184,58728,59930,61311,5845530,5695560,5048280,6.703143435,6.755536431,171,171,
CT,67717,67855,68195,68577,69789,3563080,3572660,3579120,6.55377626,6.552991688,114,114,
DE,69988,66506,65571,65009,64985,982895,967171,899595,5.954047033,5.985503266,23,23,
FL,41522,42047,42746,43535,44267,21993000,21299300,18845800,7.275214578,7.328365331,439,439,
GA,47313,48367,49623,50327,50816,10736100,10519500,9711810,6.987300177,7.021995098,210,210,
HI,54277,55273,56667,58181,58981,1412690,1420490,1363960,6.134801634,6.152438181,43,43,
ID,38216,38954,39482,40274,40566,1826160,1754210,1570770,6.196112598,6.244081582,107,107,
IL,57899,58279,58976,60504,61713,12659700,12741100,12840800,7.108592082,7.105206924,33,33,
IN,47152,47727,48474,49182,49321,6745350,6691880,6490440,6.812274139,6.825548145,391,391,
IA,54270,53931,53615,54650,55051,3179850,3156140,3050770,6.484409467,6.499156259,175,175,
KS,50248,51507,52073,53096,53528,2910360,2911500,2858210,6.456094134,6.464116794,99,99,
KY,40968,41147,41449,41966,42386,4499690,4468400,4348200,6.638309512,6.650152043,165,165,
LA,49834,48791,49539,50942,51729,4645180,4659980,4544530,6.657488975,6.668384053,173,173,
ME,40489,41291,42102,42904,43541,1345790,1338400,1327630,6.123077057,6.126585928,261,261,
MD,57677,59437,59767,61112,61926,6083120,6042720,5788640,6.762576541,6.781232471,148,148,
MA,69343,70192,71553,73529,75258,6976600,6902150,6566430,6.817329319,6.838984393,60,60,
MI,44552,45452,46037,47128,47448,10045000,9995920,9877540,6.994648797,6.999822772,302,302,
MN,57111,57785,58446,59562,60066,5700670,5611180,5310840,6.725163218,6.749054201,169,169,
MS,33543,33688,33969,34497,35015,2989260,2986530,2970540,6.472835405,6.475166882,242,242,
MO,45572,45259,45555,46544,47407,6169270,6126450,5995980,6.777860176,6.787208893,69,69,
MT,43544,42528,42784,43576,44145,1086760,1062300,990722,5.995951807,6.026247181,54,54,
NE,58334,58150,59036,59290,59386,1952570,1929270,1829540,6.262341909,6.285393011,188,188,
NV,47238,47744,48397,49476,50043,3139660,3034390,2702460,6.431759275,6.482071398,30,30,
NH,53512,54247,54952,56029,57272,1371250,1356460,1316780,6.119513222,6.132406992,68,68,
NJ,60363,60867,61170,62543,63492,8936570,8908520,8799620,6.944463918,6.949805559,43,43,
NM,43652,43635,43668,44728,46304,2096640,2095430,2064590,6.314833819,6.321273157,207,207,
NY,69814,70781,72434,73508,75131,19440500,19542200,19400100,7.287803969,7.290973454,61,61,
NC,46800,46809,47282,47905,48496,10611900,10383600,9574290,6.981106578,7.01634795,77,77,
ND,72807,67648,67574,69746,70991,761723,760077,674710,5.829117147,5.880857591,632,632,
OH,49960,50290,50972,51848,52664,11747700,11689400,11539300,7.062179464,7.06779222,386,386,
OK,50109,48419,48723,49876,50876,3954820,3943080,3759630,6.575145106,6.595835588,158,158,
OR,47811,49132,50349,51786,52726,4301090,4190710,3837530,6.584051784,6.622287608,125,125,
PA,53285,53969,54246,55607,56868,12820900,12807100,12711200,7.104186552,7.107450801,544,544,
RI,50278,50239,50195,50671,51963,1056160,1057320,1053940,6.022815888,6.024206447,37,37,
SC,38819,39423,40204,40755,41457,5210100,5084130,4635660,6.666111575,6.706216647,97,97,
SD,53212,52938,52263,52908,52913,903027,882235,816165,5.911777967,5.945584283,33,33,
TN,45756,46348,46780,47799,48440,6897580,6770010,6355300,6.803136056,6.83058931,191,191,
TX,58113,57327,58182,59827,61682,29472300,28701800,25242700,7.402135806,7.457909134,506,506,
UT,47522,48462,49380,50356,51407,3282120,3161100,2775330,6.44331463,6.499838235,60,60,
VT,46234,47082,47100,47649,48855,628061,626299,625880,5.796491074,5.796781718,222,222,
VA,54408,54301,54917,56110,56938,8626210,8517680,8023680,6.9043736,6.93032132,32,32,
WA,62024,63025,65169,68007,69761,7797100,7535590,6742900,6.828846719,6.877117261,164,164,
WV,37871,37630,38472,39617,40265,1778070,1805830,1854210,6.268158919,6.256676864,132,132,
WI,49847,50367,50889,51938,52534,5851750,5813570,5690480,6.755148901,6.764442906,99,99,
WY,67831,65135,65633,65859,67915,567025,577737,564483,5.751650867,5.761730182,17,17,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
