Location,Project Count 2019,USA GDP 2019,Project Count 2018,USA GDP 2018,Project Count 2017,USA GDP 2017,"Outliers Removed (NY, CA, TX, WA) Project Count 2019","Outliers Removed (NY, CA, TX, WA) USA GDP 2019",2018-2019 Change in Project Count (%),2017-2018 Change in Project Count (%),2018-2019 Change in GDP (%),2017-2018 Change in GDP (%),Number of Universites Per State,Number of Universites Per State (No CA),Pop2020,Pop2018,Log Pop 2020,Log Pop 2018 
AK,82,74422,136,72221,105,71282,82,63610,-39.70588235,29.52380952,3.05,1.32,35,35,4908620,4887870,6.689119647,6.690959413
AL,346,41389,518,40599,414,39599,346,37508,-33.2046332,25.12077295,1.95,2.53,129,129,734002,737438,5.867725513,5.865697243
AR,104,39580,168,38971,140,38432,104,36714,-38.0952381,20,1.56,1.40,108,108,7378490,7171650,6.855619086,6.867967493
AZ,514,44161,825,43546,636,42505,514,39583,-37.6969697,29.71698113,1.41,2.45,155,155,3039000,3013820,6.479117311,6.4827307
CA,2609,70662,4144,68970,3327,66331,,,-37.04150579,24.55665765,2.45,3.98,1246,,39937500,39557000,7.597223347,7.601380876
CO,755,61311,1029,59930,856,58728,755,54026,-26.62779397,20.21028037,2.30,2.05,171,171,5845530,5695560,6.755536431,6.766823894
CT,261,69789,405,68577,320,68195,261,62633,-35.55555556,26.5625,1.77,0.56,114,114,3563080,3572660,6.552991688,6.551825573
DE,121,64985,154,65009,152,65571,121,63955,-21.42857143,1.315789474,-0.04,-0.86,23,23,982895,967171,5.985503266,5.992507126
FL,974,44267,1470,43535,1231,42746,974,39842,-33.7414966,19.41510967,1.68,1.85,439,439,21993000,21299300,7.328365331,7.342284474
GA,488,50816,650,50327,534,49623,488,45925,-24.92307692,21.72284644,0.97,1.42,210,210,10736100,10519500,7.021995098,7.030846548
HI,90,58981,167,58181,124,56667,90,52869,-46.10778443,34.67741935,1.38,2.67,43,43,1412690,1420490,6.152438181,6.150046871
IA,275,55051,476,54650,422,53615,275,52284,-42.22689076,12.79620853,0.73,1.93,107,107,1826160,1754210,6.244081582,6.261538826
ID,160,40566,257,40274,197,39482,160,36441,-37.74319066,30.45685279,0.73,2.01,33,33,12659700,12741100,7.105206924,7.102423414
IL,741,61713,1041,60504,935,58976,741,55102,-28.8184438,11.3368984,2.00,2.59,391,391,6745350,6691880,6.825548145,6.829004489
IN,466,49321,563,49182,507,48474,466,46427,-17.22912966,11.04536489,0.28,1.46,175,175,3179850,3156140,6.499156259,6.502406634
KS,442,53528,529,53096,460,52073,442,47435,-16.44612476,15,0.81,1.96,99,99,2910360,2911500,6.464116794,6.463946713
KY,237,42386,352,41966,292,41449,237,39277,-32.67045455,20.54794521,1.00,1.25,165,165,4499690,4468400,6.650152043,6.653182595
LA,141,51729,203,50942,161,49539,141,44372,-30.54187192,26.08695652,1.54,2.83,173,173,4645180,4659980,6.668384053,6.667002547
MA,669,75258,855,73529,688,71553,669,66500,-21.75438596,24.27325581,2.35,2.76,261,261,1345790,1338400,6.126585928,6.128977297
MD,420,61926,629,61112,497,59767,420,56375,-33.22734499,26.55935614,1.33,2.25,148,148,6083120,6042720,6.781232471,6.784126384
ME,89,43541,130,42904,113,42102,89,39521,-31.53846154,15.04424779,1.48,1.90,60,60,6976600,6902150,6.838984393,6.843643824
MI,828,47448,1157,47128,995,46037,828,44201,-28.43560933,16.28140704,0.68,2.37,302,302,10045000,9995920,6.999822772,7.001949941
MN,412,60066,635,59562,573,58446,412,54805,-35.11811024,10.82024433,0.85,1.91,169,169,5700670,5611180,6.749054201,6.755925901
MO,282,47407,472,46553,375,45555,282,43036,-40.25423729,25.86666667,1.83,2.19,242,242,2989260,2986530,6.475166882,6.475563691
MS,72,35015,109,34497,91,33969,72,32447,-33.94495413,19.78021978,1.50,1.55,69,69,6169270,6126450,6.787208893,6.790233778
MT,68,44145,122,43576,84,42784,68,39833,-44.26229508,45.23809524,1.31,1.85,54,54,1086760,1062300,6.026247181,6.036133645
